"text,created_at"
"Can’t let this happen! https://t.co/M4SwPgFlIm,06-02-2020 03:16:45"
"RT @DaveofCO: @ShaneGoldmacher @RevFisk donate blue if you like this! https://t.co/x3qEDsYIhA,06-02-2020 03:18:30"
"RT @RepLeeZeldin: The rioters aren’t listening they have no respect and they aren’t slowing down on their own. These are criminals and ma…,06-02-2020 03:41:29"
"RT @RepLeeZeldin: Strong words by @realDonaldTrump to fill the breach of Mayors/Govs who need to do more to restore order. Peaceful prote…,06-02-2020 03:42:19"
"RT @FrancisBrennan: “Twitter Censors President Trump But Not Communist China? Something Doesn’t Add Up” https://t.co/PLWbEsIcHH,06-02-2020 03:46:35"
"RT @Surabees: I look forward to every ""fact checker"" in the media giving @JoeBiden 4 big Pinocchios for this whopper of a lie that he calle…,06-02-2020 03:49:15"
"RT @FrancisBrennan: Apple doesn't fall far from the tree. ""Son of Minnesota’s attorney general: 'I hereby declare officially my support…,06-02-2020 03:49:46"
"RT @FrancisBrennan: ""Biden staff donate to group that pays bail in riot-torn Minneapolis"" https://t.co/BtVLO1caF1,06-02-2020 03:50:01"
"RT @marc_lotter: NEVER FORGET that Joe Biden’s team is helping bailout people arrested during these riots.,06-02-2020 03:50:33"
"RT @ErinMPerrine: “I stand before you as a friend &amp; ally to every American seeking justice and peace. And I stand before you in firm opposi…,06-02-2020 03:50:53"
"RT @TeamTrump: WATCH: Team Trump Online with @LaraLeaTrump @MikeGarcia2020 and @TomTiffanyWI! #TeamTrumpText TRUMP to 88022 https://t.c…,06-02-2020 03:54:09"
"RT @RichardGrenell: The President of the United States @realDonaldTrump has just walked from the White House to St John’s Church where riot…,06-02-2020 03:54:24"
"Fake News. Couldn’t hear them during speech! https://t.co/4NEBSA3k1h,06-02-2020 03:57:14"
"RT @RealSaavedra: He had 8 years to do it when he was vice president,06-02-2020 03:58:02"
"RT @SarahHuckabee: The desecration of St. John’s church by an angry mob was an act of cowardice. President Trump standing before it and hol…,06-02-2020 03:58:17"
"RT @TimMurtaugh: This is a flat out lie.The President spoke at length about George Floyd the protests and the rioting in nationally tel…,06-02-2020 03:58:49"
"RT @thehannahjane: MY President 🇺🇸 @realDonaldTrump knows that what our country needs right now is God 🙏🏼✝️,06-02-2020 03:59:05"
"RT @EliseStefanik: This is an incredibly important moment as the President @realDonaldTrump deliver remarks to the American people and walk…,06-02-2020 03:59:41"
"RT @ErinMPerrine: No. No he isn’t.He is protecting Americans. He is protecting America.President @realDonaldTrump is putting America fi…,06-02-2020 03:59:56"
"RT @KyleMartinsen_: Martha MacCallum: ""@realDonaldTrump walking through this area...retaking this territory where we saw such extraordinary…,06-02-2020 04:00:17"
"Thank you Mark! https://t.co/63rw0z8AYQ,06-02-2020 04:01:05"
"RT @JasonMillerinDC: Powerful words from @realDonaldTrump tonight making it clear all Americans are going to be protected.This is what we…,06-02-2020 04:01:29"
"RT @ErinMPerrine: “By far our greatest days lie ahead.” President @realDonaldTrump 🇺🇸,06-02-2020 04:01:48"
"RT @ErinMPerrine: ""These are not acts of peaceful protest. These are acts of domestic terror.""President @realDonaldTrump 🇺🇸,06-02-2020 04:01:59"
"RT @MZHemingway: “Healing not hatred justice not chaos” — @realDonaldTrump,06-02-2020 04:02:08"
"RT @parscale: So Twitter partners with the #FakeNews media to censor @realDonaldTrump but they leave @JoeBiden &amp; Communist Chinese propagan…,06-02-2020 04:03:25"
"RT @GeraldoRivera: I send deep love &amp; heartfelt condolence to the family of #GeorgeFloyd. We love you George &amp; hate how you died. God res…,06-02-2020 04:05:49"
"RT @GOPChairwoman: President @realDonaldTrump is right. We need law and order to stop the violent destruction of people’s livelihoods and…,06-02-2020 04:05:58"
"RT @realDonaldTrump: My fellow Americans - My first and highest duty as President is to defend our great Country and the American People. I…,06-02-2020 04:06:13"
"RT @WhiteHouse: After delivering remarks in the Rose Garden President @realDonaldTrump walked to St. John's Episcopal Church. https://t.co…,06-02-2020 04:07:51"
"RT @greta: People who hate @realDonaldTrump will criticize his walk to St. John’s..People who love @realDonaldTrump will be in awe of it..w…,06-02-2020 04:08:11"
"RT @TeamTrump: President @realDonaldTrump holds his bible up in front of St. John's church in Washington D.C. which was burned by thugs la…,06-02-2020 04:08:23"
"RT @MariaBartiromo: This is 🇺🇸 &amp; tonight a show of STRENGTH. We discuss ⁦@POTUS⁩ ⁦@realDonaldTrump⁩ message/gesture tonight.  #RuleOfLaw #J…,06-02-2020 04:08:39"
"RT @TeamTrump: President @realDonaldTrump delivers a powerful speech on LAW &amp; ORDER in the United States of America! https://t.co/c0onK6J6KM,06-02-2020 04:09:01"
"RT @JohnJamesMI: This is about you the people of Michigan. This is the greatest country in the world because of people like you not poli…,06-02-2020 13:04:20"
"D.C. had no problems last night. Many arrests. Great job done by all. Overwhelming force. Domination. Likewise Minneapolis was great (thank you President Trump!).,06-02-2020 13:19:45"
"Congressman Andy Harris (@Harris4Congress) is a tremendous advocate for Maryland! A highly respected physician Andy fights for the Second Amendment Border Security and our incredible Farmers. Andy has my Complete and Total Endorsement! #MD01https://t.co/E3tP4ta6Qf,06-02-2020 13:24:50"
"Congresswoman Jackie Walorski (@jackiewalorski) is doing an incredible job for Indiana. She fights for Small Businesses the Economy and our incredible Military and Vets! Jackie has my Complete and Total Endorsement! #IN02,06-02-2020 13:25:02"
"Congressman Jim Banks (@jim_banks) is a fighter for Indiana! A highly respected Navy Officer Jim works hard for our Vets and Small Businesses. Strongly supports the Second Amendment and our Border Wall! Jim has my Complete and Total Endorsement! #IN03 https://t.co/fdDeqYXQ2C,06-02-2020 13:25:38"
